customer_id,first_name,last_name,email,country,signup_date,updated_at
C-00001,Mira,Miller,mira.miller1@example.com,US,2024-06-02,2024-07-09 00:00:00
C-00002,Sam,Moore,sam.moore2@example.com,US,2024-09-28,2024-10-10 00:00:00
C-00003,Sam,Walker,sam.walker3@example.com,JP,2024-12-21,2025-08-11 00:00:00
C-00004,Dante,Nguyen,dante.nguyen4@example.com,US,2025-06-21,2025-11-14 00:00:00
C-00005,Anya,Miller,anya.miller5@example.com,US,2025-05-17,2026-03-08 00:00:00
C-00006,Amara,Muller,amara.muller6@example.com,US,2025-05-10,2025-09-26 00:00:00
C-00007,Dante,Robinson,dante.robinson7@example.com,IN,2024-10-09,2025-07-29 00:00:00
C-00008,Noah,Haddad,noah.haddad8@example.com,US,2024-09-05,2025-01-06 00:00:00
C-00009,Leo,Ali,leo.ali9@example.com,CA,2024-06-30,2025-02-23 00:00:00
C-00010,Sam,Miller,sam.miller10@example.com,US,2025-02-15,2025-03-12 00:00:00
C-00011,Leo,Lewis,leo.lewis11@example.com,CA,2024-08-28,2025-02-10 00:00:00
C-00012,Nora,Martin,nora.martin12@example.com,US,2025-01-03,2025-08-31 00:00:00
C-00013,Mira,Kim,mira.kim13@example.com,US,2024-09-15,2025-06-19 00:00:00
C-00014,Ali,Haddad,,US,2024-11-25,2025-07-29 00:00:00
C-00015,Ava,Davis,ava.davis15@example.com,US,2024-09-04,2024-09-15 00:00:00
C-00016,Sofia,Davis,sofia.davis16@example.com,US,2024-06-23,2024-10-12 00:00:00
C-00017,Noah,Garcia,noah.garcia17@example.com,AU,2025-06-17,2025-07-01 00:00:00
C-00018,Mateo,Rossi,mateo.rossi18@example.com,US,2024-10-26,2024-11-27 00:00:00
C-00019,Zoe,Wilson,zoe.wilson19@example.com,UK,2025-06-08,2025-12-27 00:00:00
C-00020,Hana,Lee,hana.lee20@example.com,US,2025-04-02,2025-11-01 00:00:00
C-00021,Sam,Dubois,sam.dubois21@example.com,DE,2025-02-18,2025-10-08 00:00:00
C-00022,Lena,Martin,lena.martin22@example.com,US,2024-06-04,2025-02-18 00:00:00
C-00023,Rosa,Hall,rosa.hall23@example.com,US,2025-03-23,2025-10-30 00:00:00
C-00024,June,Ali,june.ali24@example.com,DE,2024-11-05,2025-07-03 00:00:00
C-00025,Tara,Dubois,tara.dubois25@example.com,US,2024-10-31,2024-11-14 00:00:00
C-00026,Kofi,Taylor,kofi.taylor26@example.com,BR,2025-05-30,2025-08-08 00:00:00
C-00027,Kofi,Kim,kofi.kim27@example.com,US,2024-07-11,2025-01-13 00:00:00
C-00028,Wren,Haddad,wren.haddad28@example.com,US,2024-09-02,2025-05-17 00:00:00
C-00029,Mira,Silva,mira.silva29@example.com,US,2024-11-25,2024-11-26 00:00:00
C-00030,Ravi,Miller,ravi.miller30@example.com,US,2025-06-16,2025-11-17 00:00:00
C-00031,Ethan,Davis,ethan.davis31@example.com,US,2024-09-14,2025-04-05 00:00:00
C-00032,Omar,Novak,omar.novak32@example.com,US,2024-12-30,2025-01-07 00:00:00
C-00033,Elena,Muller,elena.muller33@example.com,US,2025-03-31,2025-07-29 00:00:00
C-00034,Marco,Jackson,marco.jackson34@example.com,US,2025-03-07,2025-11-30 00:00:00
C-00035,Victor,Martin,victor.martin35@example.com,US,2025-01-31,2025-08-20 00:00:00
C-00036,Theo,Moore,theo.moore36@example.com,US,2024-09-10,2024-11-20 00:00:00
C-00037,Kofi,Haddad,kofi.haddad37@example.com,US,2024-11-14,2025-07-27 00:00:00
C-00038,Maya,Costa,,US,2024-12-27,2025-04-10 00:00:00
C-00039,Priya,Smith,priya.smith39@example.com,US,2025-04-08,2025-12-20 00:00:00
C-00040,Amara,Smith,amara.smith40@example.com,US,2025-05-28,2025-08-25 00:00:00
C-00041,Nina,Walker,nina.walker41@example.com,US,2025-03-11,2025-09-04 00:00:00
C-00042,Liam,Thomas,liam.thomas42@example.com,US,2024-11-27,2025-03-26 00:00:00
C-00043,Ali,Thomas,ali.thomas43@example.com,US,2024-07-16,2024-10-06 00:00:00
C-00044,Nina,Okafor,nina.okafor44@example.com,US,2025-01-06,2025-09-28 00:00:00
C-00045,Rosa,Robinson,rosa.robinson45@example.com,US,2025-05-13,2025-07-08 00:00:00
C-00046,Yuki,Novak,yuki.novak46@example.com,US,2025-02-27,2025-03-24 00:00:00
C-00047,Kofi,Clark,kofi.clark47@example.com,US,2025-02-26,2025-06-08 00:00:00
C-00048,Noah,Wilson,,US,2024-11-27,2025-06-30 00:00:00
C-00049,Tara,Walker,tara.walker49@example.com,US,2024-11-17,2025-07-17 00:00:00
C-00050,Liam,Okafor,liam.okafor50@example.com,US,2024-12-31,2025-10-26 00:00:00
C-00051,Ethan,Harris,ethan.harris51@example.com,US,2025-02-11,2025-05-10 00:00:00
C-00052,Hana,Harris,hana.harris52@example.com,UK,2025-04-07,2025-08-07 00:00:00
C-00053,Elena,Khan,elena.khan53@example.com,US,2024-12-31,2025-02-10 00:00:00
C-00054,Kai,Wilson,kai.wilson54@example.com,US,2024-07-18,2025-01-06 00:00:00
C-00055,Kai,Jackson,,US,2024-08-14,2025-06-09 00:00:00
C-00056,Cleo,Tanaka,cleo.tanaka56@example.com,US,2025-05-09,2025-12-05 00:00:00
C-00057,Kofi,Nguyen,kofi.nguyen57@example.com,AU,2025-03-21,2025-09-15 00:00:00
C-00058,Priya,Khan,priya.khan58@example.com,US,2024-06-25,2024-10-20 00:00:00
C-00059,Victor,Lee,victor.lee59@example.com,US,2024-12-16,2025-09-16 00:00:00
C-00060,Marco,Martinez,marco.martinez60@example.com,US,2024-08-27,2025-01-23 00:00:00
C-00061,Diego,Lewis,diego.lewis61@example.com,US,2024-10-16,2024-11-25 00:00:00
C-00062,Yuki,Khan,yuki.khan62@example.com,AU,2024-07-12,2024-10-29 00:00:00
C-00063,Maya,Garcia,maya.garcia63@example.com,US,2024-07-03,2024-07-23 00:00:00
C-00064,Kofi,Hall,kofi.hall64@example.com,DE,2024-10-19,2024-12-18 00:00:00
C-00065,Arjun,Ali,arjun.ali65@example.com,US,2025-01-08,2025-01-13 00:00:00
C-00066,Omar,Chen,omar.chen66@example.com,US,2024-09-29,2025-02-11 00:00:00
C-00067,Ethan,Thomas,ethan.thomas67@example.com,UK,2025-06-21,2025-12-28 00:00:00
C-00068,Mateo,Walker,mateo.walker68@example.com,DE,2025-05-19,2025-08-29 00:00:00
C-00069,Zoe,Khan,zoe.khan69@example.com,US,2024-11-27,2025-04-02 00:00:00
C-00070,Rosa,Brown,rosa.brown70@example.com,US,2025-05-21,2026-03-04 00:00:00
C-00071,Cleo,Patel,cleo.patel71@example.com,CA,2025-06-20,2026-01-31 00:00:00
C-00072,June,Martinez,june.martinez72@example.com,US,2024-12-19,2025-05-30 00:00:00
C-00073,Victor,Silva,victor.silva73@example.com,CA,2025-06-28,2025-09-21 00:00:00
C-00074,June,Muller,june.muller74@example.com,CA,2024-10-17,2025-07-13 00:00:00
C-00075,Priya,Costa,priya.costa75@example.com,US,2024-11-02,2025-01-11 00:00:00
C-00076,Victor,Tanaka,victor.tanaka76@example.com,US,2025-01-11,2025-04-18 00:00:00
C-00077,Kofi,Walker,kofi.walker77@example.com,US,2025-05-23,2026-02-19 00:00:00
C-00078,Dante,Taylor,dante.taylor78@example.com,CA,2024-10-01,2025-03-08 00:00:00
C-00079,Hana,Kim,hana.kim79@example.com,US,2025-06-29,2026-02-06 00:00:00
C-00080,Ravi,Nguyen,ravi.nguyen80@example.com,US,2024-08-26,2025-02-19 00:00:00
C-00081,Aisha,Garcia,aisha.garcia81@example.com,US,2025-02-03,2025-08-18 00:00:00
C-00082,Yuki,Iyer,yuki.iyer82@example.com,AU,2024-06-11,2024-09-08 00:00:00
C-00083,Priya,Haddad,priya.haddad83@example.com,BR,2025-05-08,2025-07-19 00:00:00
C-00084,Arjun,Brown,arjun.brown84@example.com,US,2024-09-28,2025-01-02 00:00:00
C-00085,Ali,Khan,ali.khan85@example.com,US,2024-08-10,2024-09-25 00:00:00
C-00086,Victor,Martin,victor.martin86@example.com,US,2024-10-17,2025-07-06 00:00:00
C-00087,Noah,Garcia,noah.garcia87@example.com,US,2024-06-01,2024-08-24 00:00:00
C-00088,Yuki,Garcia,yuki.garcia88@example.com,JP,2024-06-25,2024-12-10 00:00:00
C-00089,Anya,Lewis,,US,2024-09-09,2025-05-04 00:00:00
C-00090,Nora,Nguyen,nora.nguyen90@example.com,US,2025-01-21,2025-09-13 00:00:00
C-00091,Noah,Wilson,noah.wilson91@example.com,US,2025-02-09,2025-06-20 00:00:00
C-00092,Aisha,White,aisha.white92@example.com,UK,2025-05-11,2025-09-30 00:00:00
C-00093,Lucas,Garcia,lucas.garcia93@example.com,US,2025-06-15,2026-04-09 00:00:00
C-00094,Ali,Jackson,ali.jackson94@example.com,US,2025-01-22,2025-08-12 00:00:00
C-00095,June,Clark,june.clark95@example.com,US,2024-09-11,2025-05-13 00:00:00
C-00096,Elena,Khan,elena.khan96@example.com,US,2025-02-24,2025-11-21 00:00:00
C-00097,Noah,Johnson,noah.johnson97@example.com,JP,2024-09-15,2025-05-09 00:00:00
C-00098,Omar,Haddad,omar.haddad98@example.com,UK,2024-12-06,2025-01-30 00:00:00
C-00099,Omar,Iyer,omar.iyer99@example.com,US,2024-08-08,2025-01-23 00:00:00
C-00100,Liam,Patel,liam.patel100@example.com,US,2024-10-06,2024-11-05 00:00:00
C-00101,Kai,Walker,kai.walker101@example.com,US,2024-11-18,2025-06-01 00:00:00
C-00102,Elena,Walker,elena.walker102@example.com,US,2024-10-06,2025-07-19 00:00:00
C-00103,Dante,Thomas,dante.thomas103@example.com,US,2025-04-08,2025-09-08 00:00:00
C-00104,Cleo,Tanaka,cleo.tanaka104@example.com,US,2025-06-09,2025-10-16 00:00:00
C-00105,Anya,Hall,anya.hall105@example.com,US,2024-07-26,2024-08-05 00:00:00
C-00106,Ava,Garcia,ava.garcia106@example.com,US,2025-06-11,2026-03-25 00:00:00
C-00107,Rosa,Walker,rosa.walker107@example.com,US,2025-03-23,2025-04-22 00:00:00
C-00108,Priya,Harris,,US,2024-09-26,2024-10-08 00:00:00
C-00109,Sam,Iyer,sam.iyer109@example.com,AU,2024-06-21,2024-09-02 00:00:00
C-00110,Yuki,Chen,yuki.chen110@example.com,IN,2025-01-15,2025-02-03 00:00:00
C-00111,Ravi,Nguyen,ravi.nguyen111@example.com,CA,2025-06-29,2025-11-12 00:00:00
C-00112,Hana,Brown,hana.brown112@example.com,AU,2024-09-14,2025-02-15 00:00:00
C-00113,Liam,Martin,liam.martin113@example.com,US,2025-04-13,2025-07-15 00:00:00
C-00114,Victor,Taylor,victor.taylor114@example.com,US,2024-06-20,2024-07-05 00:00:00
C-00115,June,Lewis,june.lewis115@example.com,US,2025-05-07,2025-06-09 00:00:00
C-00116,Ivy,Robinson,ivy.robinson116@example.com,US,2025-02-10,2025-06-05 00:00:00
C-00117,Leo,Garcia,leo.garcia117@example.com,US,2025-04-08,2025-04-26 00:00:00
C-00118,Rosa,Ali,rosa.ali118@example.com,US,2025-05-26,2025-12-21 00:00:00
C-00119,Sofia,Tanaka,sofia.tanaka119@example.com,CA,2024-11-27,2025-01-28 00:00:00
C-00120,Kai,Davis,kai.davis120@example.com,US,2025-06-26,2025-09-24 00:00:00
C-00121,Leo,Haddad,leo.haddad121@example.com,US,2024-12-14,2025-04-11 00:00:00
C-00122,Victor,Davis,victor.davis122@example.com,CA,2024-09-01,2025-01-03 00:00:00
C-00123,Tara,White,tara.white123@example.com,US,2024-07-31,2024-07-31 00:00:00
C-00124,Noah,Lee,noah.lee124@example.com,CA,2024-09-24,2024-10-27 00:00:00
C-00125,Zoe,Harris,zoe.harris125@example.com,US,2024-11-13,2025-07-29 00:00:00
C-00126,Lucas,Moore,lucas.moore126@example.com,US,2024-08-05,2024-08-05 00:00:00
C-00127,Noah,Silva,noah.silva127@example.com,US,2024-07-15,2024-12-14 00:00:00
C-00128,Nina,Anderson,nina.anderson128@example.com,US,2024-09-18,2025-02-11 00:00:00
C-00129,Mateo,Brown,mateo.brown129@example.com,US,2024-06-12,2024-09-19 00:00:00
C-00130,Ethan,Martin,ethan.martin130@example.com,US,2024-11-12,2025-03-21 00:00:00
C-00131,Sam,Nguyen,,US,2025-01-07,2025-08-29 00:00:00
C-00132,Omar,Johnson,omar.johnson132@example.com,US,2024-12-04,2025-08-13 00:00:00
C-00133,Mira,Khan,mira.khan133@example.com,US,2024-12-29,2025-03-17 00:00:00
C-00134,Lena,Taylor,lena.taylor134@example.com,US,2024-08-31,2024-12-05 00:00:00
C-00135,Marco,Patel,,US,2025-01-25,2025-04-07 00:00:00
C-00136,Aisha,Patel,aisha.patel136@example.com,DE,2025-06-01,2025-10-22 00:00:00
C-00137,Anya,Chen,,US,2025-05-12,2025-12-02 00:00:00
C-00138,Ravi,Haddad,ravi.haddad138@example.com,US,2024-10-12,2024-12-19 00:00:00
C-00139,Yuki,Dubois,yuki.dubois139@example.com,US,2025-03-25,2025-07-02 00:00:00
C-00140,June,Weber,june.weber140@example.com,US,2024-09-07,2025-06-13 00:00:00
C-00141,Yuki,Costa,yuki.costa141@example.com,US,2024-12-11,2024-12-25 00:00:00
C-00142,Ali,Martinez,ali.martinez142@example.com,UK,2024-12-15,2025-05-02 00:00:00
C-00143,Sofia,Davis,sofia.davis143@example.com,US,2025-05-12,2025-12-11 00:00:00
C-00144,Leo,Chen,leo.chen144@example.com,US,2024-08-16,2024-09-30 00:00:00
